name#type#born_area#current_area#primaries#sex#candidatesGroup
PABLO IGLESIAS TURRIÓN#PRESIDENCIA#VI#VI#TRUE#HOMBRE#PODEMOS
MARCOS GARCIA LOPEZ#CANDIDATO#VI#VI#TRUE#HOMBRE#PODEMOS
IRENE MONTERO GIL#CANDIDATO#VI#VI#TRUE#MUJER#PODEMOS
ENRIQUE SANTIAGO ROMERO#CANDIDATO#AB#AB#TRUE#HOMBRE#PODEMOS
GLORIA ELIZO SERRANO#CANDIDATO#AB#AB#TRUE#MUJER#PODEMOS
RAFAEL MAYORAL PERALES#CANDIDATO#A#A#TRUE#MUJER#PODEMOS
MARÍA MERCEDES PÉREZ MERINO#CANDIDATO#A#A#TRUE#MUJER#PODEMOS
PABLO MANUEL FERNÁNDEZ ALARCÓN#CANDIDATO#AL#AL#TRUE#HOMBRE#PODEMOS
ANABEL SEGADO SUJAR#CANDIDATO#AL#AL#TRUE#MUJER#PODEMOS
AÍDA MARÍA QUINATOA QUINATOA#CANDIDATO#AV#AV#TRUE#MUJER#PODEMOS
MARIANO MUNIESA DE CAVEDA#CANDIDATO#AV#AV#TRUE#HOMBRE#PODEMOS
MAITE PINA LEDESMA#CANDIDATO#BA#BA#TRUE#MUJER#PODEMOS
YEISON FERNANDO GARCÍA LÓPEZ#CANDIDATO#BA#BA#TRUE#HOMBRE#PODEMOS
XAVIER GARCÍA FERNÁNDEZ#CANDIDATO#PM#PM#TRUE#HOMBRE#PODEMOS
ANTONIA MARÍA QUISPE AYALA#CANDIDATO#PM#PM#TRUE#MUJER#PODEMOS
ABEL DÍEZ DE LUCAS#CANDIDATO#B#B#TRUE#HOMBRE#PODEMOS
LIZETH VALEROS CHURA#CANDIDATO#B#B#TRUE#MUJER#PODEMOS
JORGE ROCHET MONTEAGUDO#CANDIDATO#BU#BU#TRUE#HOMBRE#PODEMOS
IRENE GARCÍA-DURÁN JIMÉNEZ DE LA IGLESIA#CANDIDATO#BU#BU#TRUE#MUJER#PODEMOS
MANUEL HERNÁNDEZ GONZÁLEZ#CANDIDATO#CC#CC#TRUE#HOMBRE#PODEMOS
GEMMA HERAS JUARIST#CANDIDATO#CC#CC#TRUE#MUJER#PODEMOS
MARIANO GARCÍA GONZÁLEZ#CANDIDATO#CA#CA#TRUE#HOMBRE#PODEMOS
MARÍA DEL ROSARIO RODERO SALAMANCA#CANDIDATO#CA#CA#TRUE#MUJER#PODEMOS
PEDRO DEL CURA SÁNCHEZ#CANDIDATO#CS#CS#TRUE#HOMBRE#PODEMOS
LEIRE OLMEDA GARCÍA#CANDIDATO#CS#CS#TRUE#MUJER#PODEMOS
ANTONIO GONZÁLEZ CASTILLO#CANDIDATO#CR#CR#TRUE#HOMBRE#PODEMOS
JOSÉ RUIZ LÓPEZ#CANDIDATO#CR#CR#TRUE#HOMBRE#PODEMOS
ARIEL EDGAR SERRANO RICO#CANDIDATO#CO#CO#TRUE#MUJER#PODEMOS
CONSTANTINO ARIAS LAMPROY#CANDIDATO#CO#CO#TRUE#HOMBRE#PODEMOS
LUISA AMAYA CAMPOS#CANDIDATO#C#C#TRUE#MUJER#PODEMOS
ÓSCAR GARCÍA MUGA#CANDIDATO#C#C#TRUE#HOMBRE#PODEMOS
MARÍA LUISA CRESPO ALONSO#CANDIDATO#CU#CU#TRUE#MUJER#PODEMOS
FERNANDO AGUILAR FERNÁNDEZ#CANDIDATO#CU#CU#TRUE#HOMBRE#PODEMOS
IRENE VALIENTE GUERRERO#CANDIDATO#GI#GI#TRUE#MUJER#PODEMOS
SERGIO ANTONIO GARCÍA TORRES#CANDIDATO#GI#GI#TRUE#HOMBRE#PODEMOS
MARÍA MONTSERRAT GARCÍA RODRÍGUEZ#CANDIDATO#GR#GR#TRUE#MUJER#PODEMOS
JOSÉ RAÚL ROSA TORRALBO#CANDIDATO#GR#GR#TRUE#HOMBRE#PODEMOS
MARÍA DEL MAR PENIZA CASTILLEJO#CANDIDATO#GU#GU#TRUE#MUJER#PODEMOS
RAÚL RODRÍGUEZ CARRASCOSA#CANDIDATO#GU#GU#TRUE#HOMBRE#PODEMOS
FELICIANA GÓMEZ PULIDO#CANDIDATO#SS#SS#TRUE#MUJER#PODEMOS
RUBÉN AGUILAR IBÁÑEZ#CANDIDATO#SS#SS#TRUE#HOMBRE#PODEMOS
JAUME ASENS LLODRÀ#CANDIDATO#H#H#TRUE#HOMBRE#PODEMOS
PATRICIA BERMEJO JIMÉNEZ#CANDIDATO#H#H#TRUE#MUJER#PODEMOS
GERARDO PISARELLO PRADOS#CANDIDATO#HU#HU#TRUE#HOMBRE#PODEMOS
ROSANA ZARAPUZ PUERTAS#CANDIDATO#HU#HU#TRUE#MUJER#PODEMOS
JOAN MIQUEL MENA ARCA#CANDIDATO#J#J#TRUE#HOMBRE#PODEMOS
