name#type#born_area#current_area#primaries#sex#candidatesGroup
PABLO CASADO BLANCO#PRESIDENCIA#VI#VI#TRUE#HOMBRE#PP
MARIANO RAJOY BREY#CANDIDATO#VI#VI#TRUE#HOMBRE#PP
ANA PASTOR JULIÁN#CANDIDATO#VI#VI#TRUE#MUJER#PP
ADOLFO SUÁREZ ILLANA#CANDIDATO#AB#AB#TRUE#HOMBRE#PP
ISABEL GARCÍA TEJERINA#CANDIDATO#AB#AB#TRUE#MUJER#PP
ELVIRA RODRÍGUEZ HERRER#CANDIDATO#A#A#TRUE#MUJER#PP
EDURNE URIARTE BENGOETXEA#CANDIDATO#A#A#TRUE#MUJER#PP
ANTONIO GONZÁLEZ TEROL#CANDIDATO#AL#AL#TRUE#HOMBRE#PP
ANA BELTRÁN#CANDIDATO#AL#AL#TRUE#MUJER#PP
PILAR MARCOS DOMÍNGUEZ#CANDIDATO#AV#AV#TRUE#MUJER#PP
CARLOS ARAGONÉS MENDIGUCHÍA#CANDIDATO#AV#AV#TRUE#HOMBRE#PP
LUCÍA FERNÁNDEZ#CANDIDATO#BA#BA#TRUE#MUJER#PP
GABRIEL ELORRIAGA PISARIK#CANDIDATO#BA#BA#TRUE#HOMBRE#PP
PERCIVAL MANGLANO ALBACAR#CANDIDATO#PM#PM#TRUE#HOMBRE#PP
MIRINA CORTÉS ORTEGA#CANDIDATO#PM#PM#TRUE#MUJER#PP
MIGUEL ÁNGEL QUINTANILLA NAVARRO#CANDIDATO#B#B#TRUE#HOMBRE#PP
OLGA SALIDO CORTES#CANDIDATO#B#B#TRUE#MUJER#PP
JOSÉ MANUEL MAZA#CANDIDATO#BU#BU#TRUE#HOMBRE#PP
JUDITH PIQUET#CANDIDATO#BU#BU#TRUE#MUJER#PP
VÍCTOR CALVO-SOTELO#CANDIDATO#CC#CC#TRUE#HOMBRE#PP
CARLA GRECIANO#CANDIDATO#CC#CC#TRUE#MUJER#PP
ÁLVARO BALLARÍN#CANDIDATO#CA#CA#TRUE#HOMBRE#PP
MARGARITA RUBIO TRINCADO#CANDIDATO#CA#CA#TRUE#MUJER#PP
CARLOS GONZÁLEZ MAESTRE#CANDIDATO#CS#CS#TRUE#HOMBRE#PP
ANDREA REMIRO#CANDIDATO#CS#CS#TRUE#MUJER#PP
IGNACIO PEZUELA CABAÑES#CANDIDATO#CR#CR#TRUE#HOMBRE#PP
PEDRO CORBALÁN#CANDIDATO#CR#CR#TRUE#HOMBRE#PP
ANA MILLÁN#CANDIDATO#CO#CO#TRUE#MUJER#PP
RODRIGO RAMOS#CANDIDATO#CO#CO#TRUE#HOMBRE#PP
MERCEDES LÓPEZ MORENO#CANDIDATO#C#C#TRUE#MUJER#PP
JOSÉ DE LA UZ#CANDIDATO#C#C#TRUE#HOMBRE#PP
MARÍA DOLORES VARGAS#CANDIDATO#CU#CU#TRUE#MUJER#PP
JESÚS MORENO#CANDIDATO#CU#CU#TRUE#HOMBRE#PP
