name#type#born_area#current_area#primaries#sex#candidatesGroup
PEDRO SÁNCHEZ PÉREZ CASTEJÓN#PRESIDENCIA#VI#VI#TRUE#HOMBRE#PSOE
CARMEN CALVO POYATO#CANDIDATO#VI#VI#TRUE#MUJER#PSOE
JOSÉ MANUEL FRANCO PARDO#CANDIDATO#AB#AB#TRUE#HOMBRE#PSOE
TERESA RIBERA RODRIGUEZ#CANDIDATO#AB#AB#TRUE#MUJER#PSOE
DOLORES DELGADO GARCÍA#CANDIDATO#A#A#TRUE#MUJER#PSOE
MARIA REYES MAROTO ILLERA#CANDIDATO#A#A#TRUE#MUJER#PSOE
RAFAEL SIMANCAS SIMANCAS#CANDIDATO#AL#AL#TRUE#HOMBRE#PSOE
BEATRIZ CORREDOR SIERRA#CANDIDATO#AL#AL#TRUE#MUJER#PSOE
ZAIDA CANTERA DE CASTRO#CANDIDATO#AV#AV#TRUE#MUJER#PSOE
DANIEL VICENTE VIONDI#CANDIDATO#AV#AV#TRUE#HOMBRE#PSOE
MARÍA ISAURA LEAL FERNÁNDEZ#CANDIDATO#BA#BA#TRUE#MUJER#PSOE
OMAR ANGUITA PÉREZ#CANDIDATO#BA#BA#TRUE#HOMBRE#PSOE
RAFAEL JOSÉ VÉLEZ#CANDIDATO#PM#PM#TRUE#HOMBRE#PSOE
GEMA LÓPEZ SOMOZA#CANDIDATO#PM#PM#TRUE#MUJER#PSOE
JULIO NAVALPOTRO GÓMEZ#CANDIDATO#B#B#TRUE#HOMBRE#PSOE
OLGA SALIDO CORTES#CANDIDATO#B#B#TRUE#MUJER#PSOE
ROBERTO GONZÁLEZ BOZA#CANDIDATO#BU#BU#TRUE#HOMBRE#PSOE
CARMEN GUTIÉRREZ TORIBIO#CANDIDATO#BU#BU#TRUE#MUJER#PSOE
JOSÉ LUIS DE LA CRUZ LEIVA#CANDIDATO#CC#CC#TRUE#HOMBRE#PSOE
RAQUEL ALCÁZAR BALLESTEROS#CANDIDATO#CC#CC#TRUE#MUJER#PSOE
VALENTÍN MIGUEL BLÁZQUEZ#CANDIDATO#CA#CA#TRUE#HOMBRE#PSOE
ÁNGELA GONZÁLEZ MONTES#CANDIDATO#CA#CA#TRUE#MUJER#PSOE
JOSÉ IGNACIO PRIETO GARCÍA#CANDIDATO#CS#CS#TRUE#HOMBRE#PSOE
SONIA BELHASSEN GARCÍA#CANDIDATO#CS#CS#TRUE#MUJER#PSOE
JAVIER ROMERA MARTÍN#CANDIDATO#CR#CR#TRUE#HOMBRE#PSOE
JOSÉ GUIRAO CABRERA#CANDIDATO#CR#CR#TRUE#HOMBRE#PSOE
SONIA FERRER TESORO#CANDIDATO#CO#CO#TRUE#MUJER#PSOE
INDALECIO GUTIÉRREZ SALINAS#CANDIDATO#CO#CO#TRUE#HOMBRE#PSOE
SORAYA MATA MARTINEZ#CANDIDATO#C#C#TRUE#MUJER#PSOE
FELIPE JOSÉ NAVARRO NAVARRO#CANDIDATO#C#C#TRUE#HOMBRE#PSOE
MARINA DIAZ ABAD#CANDIDATO#CU#CU#TRUE#MUJER#PSOE
FERNANDO GRANDE-MARLASKA GÓMEZ#CANDIDATO#CU#CU#TRUE#HOMBRE#PSOE
EVA BRAVO BARCO#CANDIDATO#GI#GI#TRUE#MUJER#PSOE
JUAN CARLOS CAMPO MORENO#CANDIDATO#GI#GI#TRUE#HOMBRE#PSOE
GEMA ARAUJO MORALES#CANDIDATO#GR#GR#TRUE#MUJER#PSOE
JOSÉ RAMÓN ORTEGA DOMÍNGUEZ#CANDIDATO#GR#GR#TRUE#HOMBRE#PSOE
CARLA ALEJANDRA LEGUIZA CANICOBA#CANDIDATO#GU#GU#TRUE#MUJER#PSOE
MANUEL JESÚS MELERO CALLADO#CANDIDATO#GU#GU#TRUE#HOMBRE#PSOE
LAURA ALMISAS RAMOS#CANDIDATO#SS#SS#TRUE#MUJER#PSOE
ALEJANDRO SAÑUDO GONZÁLEZ#CANDIDATO#SS#SS#TRUE#HOMBRE#PSOE
IGNACIO LÓPEZ CANO#CANDIDATO#H#H#TRUE#HOMBRE#PSOE
FUENSANTA LIMA CID#CANDIDATO#H#H#TRUE#MUJER#PSOE
JOSÉ CARLOS DURÁN PERALTA#CANDIDATO#HU#HU#TRUE#HOMBRE#PSOE
MARIA DOLORES NARVAEZ BANDERA#CANDIDATO#HU#HU#TRUE#MUJER#PSOE
RAFAEL FUENTES GARCÍA#CANDIDATO#J#J#TRUE#HOMBRE#PSOE
INMACULADA PASCUAL MARTIN#CANDIDATO#J#J#TRUE#MUJER#PSOE
FRANCISCO JAVIER SALAS RUIZ#CANDIDATO#LE#LE#TRUE#HOMBRE#PSOE
PAULA RETAMERO JIMENEZ#CANDIDATO#LE#LE#TRUE#MUJER#PSOE
JOSÉ SÁNCHEZ MORENO#CANDIDATO#L#L#TRUE#HOMBRE#PSOE
MARÍA PILAR ORTIZ HIDALGO#CANDIDATO#L#L#TRUE#MUJER#PSOE
JESÚS MANUEL GALEOTE ALBARRÁN#CANDIDATO#LO#LO#TRUE#HOMBRE#PSOE
IRENE DAZA MARTÍN#CANDIDATO#LO#LO#TRUE#MUJER#PSOE
ADOLFO MORENO CARRERA#CANDIDATO#LU#LU#TRUE#HOMBRE#PSOE
MARÍA TERESA AGULLÓ HERRADA#CANDIDATO#LU#LU#TRUE#MUJER#PSOE
RUBÉN JESÚS MORALES FLORES#CANDIDATO#M#M#TRUE#HOMBRE#PSOE
MARÍA ELENA ALFONSO GONZÁLEZ#CANDIDATO#M#M#TRUE#MUJER#PSOE
CARLOS SANZ ZUDAIRE#CANDIDATO#MA#MA#TRUE#HOMBRE#PSOE
BEGOÑA GARCÍA GARCÍA#CANDIDATO#MA#MA#TRUE#MUJER#PSOE
CÁNDIDO MARÍN MADRID#CANDIDATO#MU#MU#TRUE#HOMBRE#PSOE
LUCIA PARCET ROMERO#CANDIDATO#MU#MU#TRUE#MUJER#PSOE
MIGUEL RIBAGORDA SERRANO#CANDIDATO#NA#NA#TRUE#HOMBRE#PSOE
MARÍA JOSÉ LINARES RUIZ#CANDIDATO#NA#NA#TRUE#MUJER#PSOE
DIEGO FERNÁNDEZ REYES#CANDIDATO#OR#OR#TRUE#HOMBRE#PSOE
GLORIA RAZABAL GONZÁLEZ#CANDIDATO#OR#OR#TRUE#MUJER#PSOE
JOSÉ LUIS BLANCO VELASCO#CANDIDATO#O#O#TRUE#HOMBRE#PSOE
VISITACIÓN GONZÁLEZ VILLA#CANDIDATO#O#O#TRUE#MUJER#PSOE
MARIANO RUBIO GUZMÁN#CANDIDATO#P#P#TRUE#HOMBRE#PSOE
ANTONIO GARCÍA GONZÁLEZ#CANDIDATO#P#P#TRUE#HOMBRE#PSOE
YOLANDA MARTÍN MIGUEL#CANDIDATO#GC#GC#TRUE#MUJER#PSOE
